id;nombre;precio;descripcion;url_imagen;is_active;foreign_id
1;Corporate;50228;strategize;Salad Steel Dollar;false;15484
2;1080p Compatible supply-chains;69235;Indiana;unleash program firmware;true;97534
3;Branding;28746;matrix;asymmetric;false;43204
4;Pizza orchestrate;63744;standardization Principal Operations;AI Fresh;true;14408
5;Manager Mobility parse;56729;parsing;navigate Legacy utilize;false;97496
6;Handcrafted IB Investor;8493;communities HTTP;XML index haptic;true;96132
7;Gorgeous;14527;leading-edge Clothing SQL;input Profound;false;11594
8;Steel interfaces;17545;technologies Organic;Legacy Bedfordshire Licensed;true;55467
9;Steel collaborative;8328;Afghanistan firewall;Designer invoice South;false;90419
10;Bedfordshire;16006;Fall Account Industrial;yellow Upgradable;false;93103
